edge_id,from_node_id,to_node_id,edge_type,indoor_map_id,is_bidirectional,description,is_elevator
ICT_3_E001,ICT_3_N001,ICT_3_N009,corridor,,,,
ICT_3_E002,ICT_3_N009,ICT_3_N002,corridor,,,,
ICT_3_E003,ICT_3_N002,ICT_3_N003,corridor,,,,
ICT_3_E004,ICT_3_N003,ICT_3_N011,corridor,,,,
ICT_3_E005,ICT_3_N011,ICT_3_N004,corridor,,,,
ICT_3_E006,ICT_3_N004,ICT_3_N005,corridor,,,,
ICT_3_E007,ICT_3_N005,ICT_3_N010,corridor,,,,
ICT_3_E008,ICT_3_N005,ICT_3_N006,corridor,,,,
ICT_3_E009,ICT_3_N011,ICT_3_N007,corridor,,,,
ICT_3_E010,ICT_3_N011,ICT_3_N008,corridor,,,,
ICT_4_E011,ICT_4_N012,ICT_4_N013,corridor,,,,
ICT_4_E012,ICT_4_N013,ICT_4_N014,corridor,,,,
ICT_4_E013,ICT_4_N014,ICT_4_N015,corridor,,,,
ICT_4_E014,ICT_4_N015,ICT_4_N016,corridor,,,,
ICT_4_E015,ICT_4_N016,ICT_4_N019,corridor,,,,
ICT_4_E016,ICT_4_N019,ICT_4_N020,corridor,,,,
ICT_4_E017,ICT_4_N020,ICT_4_N021,corridor,,,,
ICT_4_E018,ICT_4_N016,ICT_4_N018,corridor,,,,
ICT_4_E019,ICT_4_N016,ICT_4_N017,corridor,,,,
ICT_4_E020,ICT_4_N020,ICT_4_N022,corridor,,,,
ICT_34_E001,ICT_3_N001,ICT_4_N012,stair,,,,
ICT_34_E002,ICT_3_N006,ICT_4_N017,stair,,,,
ICT_34_E003,ICT_3_N007,ICT_4_N018,elevator,,,,
ICT_34_E004,ICT_3_N011,ICT_4_N022,stair,,,,
ICT_5_E021,ICT_5_N023,ICT_5_N024,corridor,,,,
ICT_5_E022,ICT_5_N024,ICT_5_N025,corridor,,,,
ICT_5_E023,ICT_5_N025,ICT_5_N026,corridor,,,,
ICT_5_E024,ICT_5_N026,ICT_5_N027,corridor,,,,
ICT_5_E025,ICT_5_N027,ICT_5_N030,corridor,,,,
ICT_5_E026,ICT_5_N030,ICT_5_N031,corridor,,,,
ICT_5_E027,ICT_5_N031,ICT_5_N032,corridor,,,,
ICT_5_E028,ICT_5_N027,ICT_5_N028,corridor,,,,
ICT_5_E029,ICT_5_N027,ICT_5_N029,corridor,,,,
ICT_5_E030,ICT_5_N031,ICT_5_N033,corridor,,,,
ICT_45_E005,ICT_4_N012,ICT_5_N023,stair,,,,
ICT_45_E006,ICT_4_N017,ICT_5_N028,stair,,,,
ICT_45_E007,ICT_4_N018,ICT_5_N029,elevator,,,,
ICT_45_E008,ICT_4_N022,ICT_5_N033,stair,,,,
ICT_2_E031,ICT_2_N034,ICT_2_N035,corridor,,,,
ICT_2_E032,ICT_2_N035,ICT_2_N036,corridor,,,,
ICT_2_E033,ICT_2_N036,ICT_2_N037,corridor,,,,
ICT_2_E034,ICT_2_N037,ICT_2_N038,corridor,,,,
ICT_2_E035,ICT_2_N038,ICT_2_N041,corridor,,,,
ICT_2_E036,ICT_2_N041,ICT_2_N042,corridor,,,,
ICT_2_E037,ICT_2_N042,ICT_2_N043,corridor,,,,
ICT_2_E038,ICT_2_N038,ICT_2_N039,corridor,,,,
ICT_2_E039,ICT_2_N038,ICT_2_N040,corridor,,,,
ICT_2_E040,ICT_2_N042,ICT_2_N044,corridor,,,,
