,room_id,building_id,floor_number,floor_label,room_code,room_name,room_type
,DKU_ICT_-1_101,DKU_ICT,-1,B1,101,일반물리실험준비실1,prep_room
,DKU_ICT_-1_102,DKU_ICT,-1,B1,102,일반물리실험실1,laboratory
,DKU_ICT_-1_103,DKU_ICT,-1,B1,103,반도체SW 실습 리빙랩,laboratory
,DKU_ICT_-1_104,DKU_ICT,-1,B1,104,솔리드클라우드 실습 서버실,server_room
,DKU_ICT_-1_105,DKU_ICT,-1,B1,105,솔리드클라우드 운영 준비실,prep_room
,DKU_ICT_-1_106,DKU_ICT,-1,B1,106,e-Sports 실험실습실,laboratory
,DKU_ICT_-1_107,DKU_ICT,-1,B1,107,사법대학 과학교육과 실험실습실,laboratory
,DKU_ICT_-1_108,DKU_ICT,-1,B1,108,웨어러블 디아비스 실증 스튜디오,studio
,DKU_ICT_-1_109,DKU_ICT,-1,B1,109,공공기기실,equipment_room
,DKU_ICT_-1_110,DKU_ICT,-1,B1,110,일반물리실험준비실2,prep_room
,DKU_ICT_-1_111,DKU_ICT,-1,B1,111,일반물리실험실2,laboratory
,DKU_ICT_1_101,DKU_ICT,1,1F,101,강의실,classroom
,DKU_ICT_1_102,DKU_ICT,1,1F,102,강의실,classroom
,DKU_ICT_1_103,DKU_ICT,1,1F,103,상담학과 사무실,department_office
,DKU_ICT_1_104,DKU_ICT,1,1F,104,강의실,classroom
,DKU_ICT_1_105,DKU_ICT,1,1F,105,자동녹화강의실,classroom
,DKU_ICT_1_106,DKU_ICT,1,1F,106,unknown,unknown
,DKU_ICT_1_107,DKU_ICT,1,1F,107,AI융합대학 서버실,server_room
,DKU_ICT_1_108,DKU_ICT,1,1F,108,동물생리학실험실,laboratory
,DKU_ICT_1_109,DKU_ICT,1,1F,109,ND-COSS 물리과학실험실,laboratory
,DKU_ICT_1_110,DKU_ICT,1,1F,110,ND-COSS 물리과학실험준비실,prep_room
,DKU_ICT_1_111,DKU_ICT,1,1F,111,융합전자바이오실험실,laboratory
,DKU_ICT_1_111_1,DKU_ICT,1,1F,111-1,유기재료전자실험실,laboratory
,DKU_ICT_1_112,DKU_ICT,1,1F,112,생태학 실험실,laboratory
